Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C20, C21, C4",0402,4,4.7uF,
"C10, C11, C12, C13, C14, C2, C3, C5, C8, C9",0402,10,100nF,
"C16, C17",0402,2,22pF,
"C18, C19, C7",0603,3,10uF,
C6,0402,1,1uF,
D1,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B-2020,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J3,CUI_UP2-AH-4-TH,1,UP2-AH-4-TH,
L1,0805,1,3.3u,
"R1, R3",0402,2,1k,
"R2, R7",0402,2,5.1k,
"R4, R5",0402,2,27,
R6,0402,1,33,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_SPST,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U3,SOT-23-3,1,XC6206P332MR-G,
U4,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350A-QFN60,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
