Designator,Mid X,Mid Y,Rotation,Layer
C1,163.2686,-98.0718,90.0,top
C10,167.5473,-110.6678,315.0,top
C11,164.3634,-98.0718,90.0,top
C12,168.7322,-98.0718,90.0,top
C13,161.2227,-111.125,270.0,top
C14,168.8427,-102.4382,0.0,top
C16,162.7213,-111.125,90.0,top
C17,165.608,-114.1222,270.0,top
C18,165.0238,-87.7062,0.0,top
C19,157.6832,-89.3318,180.0,top
C2,157.4038,-103.0224,180.0,top
C20,167.6654,-98.0718,90.0,top
C21,169.0396,-100.3046,0.0,top
C3,157.3784,-104.9782,180.0,top
C4,168.8427,-105.1306,0.0,top
C5,164.1945,-111.125,270.0,top
C6,157.3784,-107.0102,180.0,top
C7,162.052,-88.1888,270.0,top
C8,168.8427,-106.2228,0.0,top
C9,168.8427,-103.5558,0.0,top
D1,169.3926,-88.4174,180.0,top
J1,163.703,-73.7362,90.0,top
J3,161.29,-124.7,0.0,top
L1,170.3578,-97.9127,270.0,top
R1,157.4038,-101.7016,180.0,top
R2,164.5338,-121.4852,0.0,top
R3,164.5412,-114.0968,90.0,top
R4,165.4556,-97.8662,270.0,top
R5,166.5732,-97.8662,270.0,top
R6,168.8427,-101.346,180.0,top
SW1,159.6644,-115.7326,270.0,top
SW2,167.8686,-115.7326,270.0,top
U2,158.496,-95.4278,0.0,top
U3,157.9626,-86.8172,180.0,top
U4,163.4579,-105.8186,90.0,top
Y1,163.703,-116.967,0.0,top
